is_red_wine,alcohol,density,volatile acidity,chlorides,quality_label
1,12.4,0.99328,0.16,0.068,0
0,10.0,0.9944,0.32,0.041,1
0,13.6,0.98742,0.3,0.029,0
0,9.9,0.99324,0.12,0.034,0
0,10.2,0.9939,0.115,0.048,0
0,10.7,0.99272,0.17,0.029,0
0,9.8,0.9984,0.25,0.059,0
1,11.5,0.9978,0.53,0.121,0
0,12.0666666666667,0.99005,0.35,0.041,0
0,10.0,0.99272,0.18,0.028,1
0,9.9,0.9952,0.24,0.036,0
0,9.2,0.9976,0.28,0.053,1
1,10.1,0.99498,0.62,0.08,1
0,8.7,0.9998,0.24,0.046,1
0,11.1,0.9915,0.23,0.048,0
0,9.0,0.9956,0.27,0.056,0
0,9.6,0.99537,0.29,0.046,1
0,9.3,0.99335,0.32,0.049,1
0,10.2,0.99358,0.21,0.041,1
0,13.0,0.98919,0.34,0.021,0
0,12.9,0.98914,0.3,0.035,0
0,9.1,0.99652,0.3,0.05,0
0,10.0333333333333,0.99788,0.27,0.054,0
1,9.9,0.9981,0.83,0.086,1
0,12.0,0.99193,0.28,0.054,0
0,8.8,0.99916,0.32,0.06,0
1,9.3,0.9969,0.785,0.122,1
0,9.0,0.9963,0.43,0.045,1
0,11.3,0.99238,0.255,0.043,0
0,9.5,0.994,0.17,0.05,1
0,11.0,0.99634,0.11,0.04,0
0,10.8,0.99216,0.18,0.043,1
0,10.5,0.99142,0.375,0.036,0
0,9.3,0.9966,0.24,0.047,1
1,10.4,0.9996,0.38,0.121,0
0,10.9,0.99469,0.18,0.039,0
0,8.8,0.9985,0.24,0.049,1
0,11.2,0.9904,0.19,0.044,0
0,9.5,0.9942,0.16,0.042,1
1,11.3,0.99572,0.69,0.091,0
0,9.5,0.9934,0.23,0.06,0
1,9.7,0.9982,0.39,0.082,1
0,10.9,0.9944,0.21,0.033,0
1,9.5,0.9973,0.4,0.157,0
1,9.8,0.99615,0.53,0.074,0
0,12.6,0.9906,0.38,0.029,0
0,10.5,0.99455,0.16,0.043,1
0,12.8,0.99265,0.4,0.033,0
0,11.7,0.99104,0.78,0.045,1
0,10.4,0.994,0.24,0.06,1
0,9.5,0.9956,0.33,0.042,1
1,11.5,0.9948,0.56,0.079,0
0,9.4,0.9956,0.14,0.039,0
1,10.8,0.99551,0.885,0.166,1
0,9.4,0.99307,0.255,0.079,1
0,9.2,0.99577,0.24,0.042,1
0,11.4,0.9902,0.48,0.037,1
1,9.3,0.9994,0.4,0.059,0
0,9.4,0.99787,0.39,0.053,0
0,9.4,0.9927,0.33,0.053,0
0,9.4,0.99835,0.26,0.031,1
0,9.9,0.996,0.19,0.039,0
0,9.5,0.9986,0.25,0.048,0
0,10.4,0.9944,0.31,0.031,1
0,9.5,0.99416,0.2,0.054,0
0,12.0,0.9914,0.2,0.041,0
0,9.2,0.9954,0.14,0.041,0
1,11.5,0.99572,0.33,0.054,1
0,9.5,0.9955,0.33,0.05,1
1,12.0,0.99536,0.31,0.194,0
0,11.5,0.99108,0.16,0.029,0
1,11.2,0.9957,0.41,0.078,1
1,9.2,1.00005,0.21,0.075,0
0,9.5,0.994,0.3,0.049,0
0,10.3,0.9941,0.28,0.054,0
1,9.7,0.99552,0.48,0.064,1
0,9.3,0.9982,0.3,0.042,0
0,9.0,0.99773,0.24,0.034,1
0,9.5,0.9932,0.35,0.051,1
1,9.4,0.9964,0.34,0.082,0
1,10.55,0.99514,0.56,0.065,0
0,11.9,0.99093,0.2,0.041,1
0,12.4,0.98918,0.58,0.02,0
1,9.3,0.99494,0.61,0.076,1
0,10.4,0.9928,0.31,0.037,0
1,9.8,0.99547,0.49,0.079,0
0,10.2,0.9939,0.28,0.051,1
0,9.0,0.99954,0.29,0.036,1
0,10.8,0.99228,0.17,0.052,1
1,9.4,1.0004,0.55,0.087,1
0,11.9,0.99088,0.27,0.034,0
0,10.5,0.9926,0.18,0.054,1
0,11.55,0.99069,0.22,0.052,0
1,9.3,0.9969,0.68,0.073,1
0,10.2,0.9924,0.28,0.053,1
1,10.1,0.99464,0.34,0.084,1
0,10.7,0.9941,0.27,0.051,0
0,8.7,0.99841,0.2,0.042,1
0,9.9,0.99251,0.24,0.047,0
1,10.3,1.0004,0.38,0.098,1
0,8.7,0.9981,0.27,0.037,1
0,9.8,0.99438,0.32,0.092,1
0,9.5,0.99548,0.27,0.044,1
1,9.7,0.9998,0.64,0.095,1
0,9.5,0.9958,0.14,0.049,1
1,8.4,0.9994,0.61,0.2,1
0,9.5,0.99573,0.26,0.047,0
0,9.4,0.99537,0.35,0.063,0
0,10.8,0.9923,0.26,0.031,1
0,10.5,0.9953,0.21,0.033,0
0,10.5,0.9944,0.33,0.034,1
0,13.1,0.98774,0.24,0.034,0
0,8.8,0.9932,0.46,0.04,1
1,9.2,0.99668,0.81,0.076,1
0,12.1,0.9908,0.34,0.042,0
1,11.7,0.9972,0.21,0.088,0
0,9.5,0.9927,0.3,0.049,1
0,10.0,0.99314,0.34,0.051,1
0,9.0,0.99679,0.33,0.05,1
0,9.1,0.99834,0.34,0.051,1
0,8.9,0.9982,0.21,0.048,0
0,11.5,0.9902,0.26,0.034,1
1,10.5,0.99667,0.36,0.062,0
0,10.4,0.9941,0.24,0.052,0
0,11.3,0.99058,0.16,0.034,0
1,11.0,0.9962,0.625,0.101,1
0,9.1,0.99956,0.3,0.057,1
0,12.4,0.99248,0.31,0.036,0
0,9.4,0.99512,0.29,0.044,1
0,10.9,0.9924,0.3,0.044,0
0,11.1,0.99324,0.73,0.054,1
0,10.4,0.99192,0.26,0.061,1
0,8.5,0.99642,0.2,0.034,0
0,10.6,0.99252,0.25,0.047,0
0,10.0,0.9937,0.19,0.046,1
0,9.7,0.99119,0.23,0.041,1
0,10.4,0.99568,0.32,0.038,0
0,10.9,0.99094,0.23,0.042,0
0,9.5,0.9972,0.26,0.034,0
0,9.1,0.99976,0.24,0.083,1
0,9.2,0.99771,0.44,0.096,1
1,11.8,0.9972,0.56,0.089,0
0,9.2,0.9937,0.2,0.065,0
0,13.6,0.98872,0.38,0.035,0
0,11.0,0.99296,0.3,0.043,1
0,10.2,0.99393,0.21,0.056,0
0,12.8,0.98986,0.28,0.037,0
1,10.5,0.9974,0.49,0.06,1
0,9.0,0.9949,0.14,0.029,1
1,9.2,0.9959,0.69,0.097,0
0,10.0,0.993,0.29,0.052,0
0,10.6,0.9946,0.64,0.05,1
0,12.4,0.9918,0.485,0.026,1
0,9.5,0.9946,0.32,0.05,1
0,10.8,0.99526,0.22,0.05,1
0,8.9,0.9977,0.27,0.036,0
0,12.7,0.99117,0.44,0.033,0
0,9.2,0.9948,0.13,0.028,0
1,10.7,0.9987,0.31,0.067,0
0,11.2,0.9922,0.19,0.03,0
0,9.6,0.99452,0.255,0.039,1
1,11.7,0.997,0.42,0.116,0
1,10.6,0.9986,0.31,0.094,0
1,9.5,0.9968,0.5,0.084,1
0,12.6,0.99188,0.655,0.039,0
0,9.53333333333333,0.99504,0.23,0.05,1
1,11.2,0.99419,0.34,0.065,0
1,11.3,0.9947,0.37,0.062,0
0,9.1,0.9987,0.345,0.047,1
0,12.1,0.9899,0.2,0.039,0
0,9.2,0.99416,0.33,0.051,1
0,11.75,0.99018,0.24,0.036,0
0,11.3,0.9909,0.17,0.037,0
0,12.6,0.99,0.21,0.03,0
0,12.5,0.99058,0.45,0.035,0
0,11.4,0.9906,0.42,0.019,0
0,9.8,0.9939,0.17,0.05,0
1,12.5,0.99467,0.58,0.075,0
0,9.5,0.99527,0.26,0.056,1
0,12.7,0.98949,0.23,0.041,0
0,11.6,0.98998,0.22,0.042,0
1,9.2,0.9972,0.42,0.073,0
0,9.5,0.99459,0.38,0.117,0
0,9.6,0.9953,0.37,0.061,0
0,12.7,0.9899,0.32,0.036,0
0,10.1,0.9942,0.23,0.035,0
0,9.0,0.9956,0.46,0.052,1
0,12.3,0.9912,0.38,0.034,0
0,10.8,0.9926,0.24,0.033,0
0,9.5,0.99907,0.33,0.049,1
0,12.0,0.9948,0.36,0.03,1
0,11.8,0.99161,0.28,0.028,0
0,8.5,1.00196,0.28,0.06,1
0,11.0,0.99115,0.2,0.031,0
1,9.2,0.9957,0.32,0.103,1
1,11.1,0.99566,0.67,0.072,0
1,11.2,0.99402,0.48,0.078,0
0,9.6,0.99965,0.345,0.047,1
1,11.8,0.99664,0.38,0.104,0
0,9.5,0.9962,0.24,0.05,1
1,11.9,0.9912,0.21,0.066,0
0,11.0,0.9928,0.21,0.036,0
0,10.4,0.99455,0.3,0.046,1
0,9.3,0.99198,0.15,0.037,1
0,11.0,0.992,0.23,0.044,0
1,10.4,0.9978,0.24,0.075,1
0,11.5,0.99114,0.18,0.029,0
1,12.2,0.9927,0.48,0.054,0
1,12.6,0.99387,0.58,0.069,0
0,12.5,0.99027,0.28,0.032,1
0,12.7,0.99184,0.3,0.037,0
1,10.9,1.00012,0.5,0.072,0
1,9.9,1.0004,0.67,0.107,0
1,11.3,0.9952,0.28,0.062,0
0,9.8,0.99711,0.36,0.06,0
0,10.2,0.9944,0.26,0.046,1
1,10.5,0.99655,0.55,0.082,1
1,10.9,0.99556,0.295,0.073,0
0,9.8,0.99513,0.31,0.039,1
0,10.1,0.998,0.28,0.042,1
1,9.3,0.9971,0.635,0.263,1
1,11.3,0.9954,0.67,0.118,0
1,11.7,0.99598,0.86,0.1,0
0,9.8,0.9963,0.37,0.032,0
1,9.5,0.9982,0.35,0.083,1
0,10.2,0.99174,0.26,0.034,0
1,14.9,0.9976,0.36,0.096,1
0,9.1,0.9998,0.22,0.042,0
0,13.5,0.99012,0.22,0.032,0
1,10.1,0.9991,0.56,0.079,0
1,9.2,0.9961,0.42,0.088,1
0,10.2,0.9973,0.28,0.057,1
0,12.8,0.9913,0.21,0.036,0
0,11.5,0.99437,0.15,0.031,0
0,10.1,0.99138,0.345,0.068,1
1,11.5,0.9989,0.66,0.083,0
0,9.8,0.9939,0.46,0.066,1
0,8.8,1.0001,0.22,0.05,1
1,9.4,0.9965,0.4,0.079,1
0,12.6,0.99164,0.31,0.028,0
1,11.6,1.0002,0.69,0.086,0
1,11.0,0.9958,0.56,0.105,1
1,11.0,0.99534,0.36,0.074,0
1,9.7,0.9997,0.6,0.079,1
0,11.9,0.99064,0.25,0.045,0
1,11.1,0.9956,0.67,0.068,0
1,10.2,0.998,0.44,0.059,0
0,10.3,0.9949,0.17,0.049,0
0,11.85,0.99331,0.3,0.048,1
0,9.3,0.99845,0.22,0.035,1
1,11.9,0.99545,0.29,0.084,0
0,9.7,0.9947,0.21,0.036,0
1,9.5,0.9968,0.29,0.062,0
0,10.0,0.99168,0.28,0.028,0
0,9.4,0.99655,0.21,0.044,0
0,12.8,0.9902,0.32,0.029,0
0,11.1,0.99268,0.32,0.037,0
1,9.5,0.9976,0.71,0.08,1
1,10.8,0.99557,0.57,0.077,0
0,11.2,0.9906,0.33,0.053,0
0,12.8,0.9914,0.19,0.044,0
1,9.9,0.9972,0.6,0.074,0
0,8.8,0.9944,0.21,0.056,0
1,11.2,0.9958,1.115,0.086,1
0,12.0,0.9917,0.34,0.034,0
0,12.0,0.99011,0.26,0.029,0
0,8.8,1.0103,0.33,0.053,0
1,11.2,0.99516,0.47,0.055,1
0,10.7,0.9939,0.25,0.02,0
1,9.4,0.9974,0.63,0.077,1
0,10.3,0.99538,0.31,0.059,1
1,9.7,0.9954,0.84,0.065,1
0,9.0,0.9957,0.27,0.049,1
0,9.1,0.9968,0.41,0.049,1
0,9.1,0.9986,0.19,0.053,0
1,9.5,0.99525,0.61,0.057,1
0,9.6,0.994,0.19,0.053,0
0,12.15,0.989465,0.26,0.035,0
1,9.3,0.9982,0.615,0.087,1
0,11.2,0.99066,0.13,0.043,0
0,10.3,0.9959,0.22,0.057,0
0,11.2,0.99479,0.28,0.033,0
0,10.0,0.9948,0.23,0.039,1
0,8.5,1.0,0.18,0.042,0
0,10.8,0.991,0.25,0.036,0
1,9.5,0.99803,0.65,0.089,1
0,10.1,0.99235,0.2,0.047,0
1,9.6,0.99976,0.66,0.097,1
0,8.7,0.9978,0.21,0.045,1
0,10.9,0.994,0.25,0.055,0
0,10.2,0.9946,0.15,0.058,0
0,13.4,0.99143,0.33,0.038,0
0,12.7,0.9898,0.18,0.043,0
1,9.0,1.00369,0.54,0.214,0
0,9.8,0.9927,0.2,0.15,1
0,12.2,0.99122,0.45,0.036,0
1,9.8,1.001,0.38,0.088,0
0,13.5,0.99246,0.65,0.013,1
0,9.0,0.9949,0.54,0.06,1
0,9.3,0.9951,0.33,0.048,0
0,11.2,0.99076,0.43,0.029,1
1,9.4,0.9984,0.62,0.146,1
1,10.0,0.9984,0.43,0.095,1
0,10.0,0.99942,0.31,0.048,1
0,11.6,0.99051,0.2,0.039,0
1,11.1,0.99524,0.68,0.068,1
0,12.0,0.99216,0.31,0.036,0
0,11.8,0.98941,0.21,0.02,0
0,12.2,0.9907,0.28,0.032,0
0,10.7,0.99397,0.29,0.036,0
0,11.1,0.9918,0.28,0.047,0
0,11.3,0.99184,0.25,0.041,0
0,11.0,0.99388,0.2,0.037,0
0,9.1,0.99576,0.25,0.048,1
0,9.6,0.9928,0.34,0.041,0
0,12.6,0.98999,0.3,0.048,0
0,12.1,0.99461,0.38,0.041,0
1,10.6,0.9967,0.28,0.067,0
1,9.7,1.0001,0.615,0.087,1
0,12.5,0.99176,0.33,0.033,0
0,10.8,0.99645,0.23,0.031,1
0,10.2,0.9958,0.36,0.255,0
0,9.5,0.9924,0.29,0.06,1
0,9.6,0.9974,0.27,0.048,0
0,10.0,0.996,0.41,0.037,1
0,9.3,0.9972,0.42,0.058,0
0,10.6,0.9935,0.24,0.04,0
0,10.2,0.9933,0.16,0.047,0
0,9.2,0.9938,0.22,0.064,0
0,9.1,0.99752,0.17,0.044,0
0,11.4,0.99128,0.25,0.043,1
0,9.5,0.99784,0.38,0.048,0
0,10.3,0.9952,0.2,0.035,0
1,10.5,0.99786,0.41,0.091,1
0,10.0,0.99316,0.32,0.052,1
0,10.2,0.9944,0.28,0.036,1
0,10.9,0.9933,0.17,0.033,0
1,10.5,0.99568,0.58,0.088,0
0,11.9,0.99364,0.2,0.035,0
0,9.4,0.99578,0.27,0.044,1
0,9.0,0.9992,0.22,0.066,0
0,10.6,0.9968,0.28,0.048,1
1,9.1,0.9972,0.625,0.08,1
1,9.2,1.0026,0.28,0.069,1
0,11.2,0.9915,0.36,0.025,0
0,12.15,0.99168,0.21,0.028,0
0,10.1,0.99543,0.28,0.045,0
1,10.2,0.9972,0.61,0.084,0
0,9.8,0.99461,0.34,0.062,0
0,11.7,0.9904,0.28,0.039,0
0,11.4,0.993,0.19,0.033,0
0,8.8,0.99779,0.24,0.045,1
0,9.0,0.9996,0.18,0.044,0
0,11.9,0.99043,0.27,0.04,1
1,11.0,1.0003,0.35,0.07,0
0,11.0,0.9912,0.31,0.038,0
0,12.9,0.98892,0.34,0.03,0
0,11.7,0.9902,0.37,0.028,0
0,10.8,0.9928,0.24,0.051,0
1,9.3,0.99664,0.75,0.11,1
0,10.5,0.994,0.245,0.032,1
1,10.8,0.99582,0.895,0.068,0
0,9.8,0.99795,0.23,0.054,1
0,12.9,0.99013,0.24,0.044,0
0,10.0,0.997,0.2,0.044,0
0,9.9,0.994,0.31,0.046,0
1,9.4,0.9976,0.43,0.075,1
0,9.4,0.99548,0.27,0.049,1
0,13.7,0.98819,0.29,0.036,0
1,9.2,0.9972,0.415,0.081,1
0,11.9,0.9919,0.12,0.037,0
0,9.4,0.99692,0.35,0.069,1
0,9.8,0.99208,0.31,0.024,0
0,9.4,0.9954,0.235,0.03,0
0,9.6,0.997,0.21,0.037,0
0,9.8,0.99232,0.28,0.035,0
0,10.7,0.99205,0.28,0.033,1
1,10.5,0.99584,0.51,0.062,1
0,9.9,0.9934,0.27,0.05,1
1,10.3,0.9992,0.39,0.08,0
0,12.8,0.99162,0.32,0.025,0
1,11.3,0.997,0.34,0.174,0
1,9.2,0.99623,0.78,0.415,1
0,11.2,0.99158,0.2,0.057,0
0,9.9,0.99378,0.24,0.043,0
0,9.9,0.9926,0.13,0.028,1
0,10.6,0.9915,0.26,0.042,1
0,9.5,0.998,0.25,0.046,1
0,12.2,0.99121,0.48,0.035,0
0,10.9,0.99244,0.2,0.025,1
0,11.8,0.9905,0.3,0.029,0
0,13.2,0.98794,0.29,0.033,0
0,9.8,0.9954,0.2,0.044,0
0,9.8,0.99532,0.2,0.047,0
0,8.7,1.00013,0.31,0.044,1
1,10.8,0.9979,0.42,0.094,0
0,10.5,0.9946,0.18,0.046,0
0,10.9,0.99153,0.19,0.041,0
0,9.8,0.99564,0.12,0.039,0
1,10.9,0.99592,0.91,0.06,1
0,12.8933333333333,0.9901,0.41,0.035,0
0,8.8,0.9959,0.17,0.082,0
0,9.4,0.9952,0.28,0.045,1
1,12.8,0.9929,0.51,0.064,0
0,9.7,0.9944,0.13,0.051,0
0,10.8,0.99278,0.17,0.042,0
0,10.2,0.99226,0.23,0.043,0
0,10.8,0.9924,0.19,0.054,0
0,10.8,0.9939,0.2,0.037,1
0,11.0,0.99278,0.21,0.047,0
0,12.9,0.9898,0.25,0.026,0
1,9.5,0.9978,0.42,0.073,1
0,11.6,0.9934,0.26,0.037,0
0,10.4,0.992,0.46,0.054,0
0,10.5,0.991,0.47,0.035,1
1,11.0,0.9966,0.365,0.088,1
0,10.2,0.99514,0.16,0.044,1
0,9.3,0.99659,0.24,0.05,0
0,12.7,0.99166,0.33,0.034,0
1,10.5,0.9969,0.28,0.092,0
0,10.5,0.9926,0.25,0.052,1
1,12.3,0.99471,0.42,0.092,0
1,9.8,1.00015,0.59,0.102,1
0,9.4,0.99584,0.26,0.046,1
1,9.3,0.9966,0.735,0.1,1
0,12.4,0.98945,0.22,0.036,0
0,9.7,0.9946,0.34,0.056,1
0,8.6,0.9942,0.28,0.039,1
0,12.4,0.99123,0.33,0.036,0
0,9.9,0.9949,0.41,0.057,0
0,9.3,0.99873,0.37,0.043,1
0,10.1,0.992,0.31,0.037,0
0,9.6,0.99556,0.28,0.043,0
0,12.3,0.98926,0.24,0.027,0
0,9.4,0.99576,0.4,0.052,1
0,10.0,0.99388,0.17,0.052,0
0,10.5,0.9931,0.41,0.05,1
1,10.1,0.9971,0.29,0.092,0
0,11.4,0.99129,0.27,0.043,0
1,10.0,0.99635,0.71,0.092,0
1,11.4,0.99346,0.915,0.041,1
0,11.3,0.9906,0.25,0.04,0
0,12.3,0.9906,0.32,0.033,0
0,9.1,0.9932,0.22,0.133,1
0,12.0,0.98997,0.23,0.046,1
0,12.5,0.99055,0.24,0.031,0
0,9.9,0.9956,0.23,0.058,0
0,10.7,0.99244,0.32,0.05,1
1,10.7,1.0002,0.33,0.093,0
0,9.8,0.992,0.25,0.041,1
0,10.6,0.9941,0.26,0.043,0
1,9.4,0.9972,0.71,0.08,1
0,11.2,0.99151,0.38,0.038,0
0,11.6,0.992,0.26,0.054,0
1,9.56666666666667,0.99713,0.785,0.094,0
0,10.4,0.9948,0.15,0.046,0
1,10.1,0.9979,0.69,0.088,1
0,11.6,0.99136,0.14,0.034,0
0,9.0,0.99773,0.39,0.084,1
0,11.3,0.99146,0.17,0.03,0
0,10.3,0.992,0.14,0.044,0
0,10.8,0.9935,0.2,0.052,1
0,9.5,0.99663,0.31,0.048,1
1,12.1,0.9952,0.39,0.051,0
0,10.6,0.992,0.395,0.035,0
0,11.5,0.99165,0.46,0.027,0
0,10.6,0.99471,0.15,0.046,0
0,9.6,0.9944,0.26,0.068,1
0,12.5,0.995,0.32,0.039,0
0,11.2,0.99402,0.27,0.03,1
0,12.0,0.9973,0.49,0.03,0
0,9.8,0.99795,0.21,0.039,0
0,10.4,0.99354,0.34,0.051,0
1,9.7,0.99672,0.755,0.084,1
0,10.7,0.99332,0.19,0.049,0
0,10.9,0.9955,0.39,0.059,0
0,12.0,0.99019,0.22,0.05,0
0,11.7,0.99038,0.19,0.046,0
1,10.5,0.9972,0.52,0.087,0
0,10.0,0.99437,0.26,0.05,0
1,9.7,0.9957,0.49,0.076,1
1,10.1,0.9985,1.025,0.08,1
1,9.2,0.9972,0.615,0.065,1
0,10.8,0.99402,0.25,0.045,1
0,12.0,0.9924,0.33,0.036,0
1,10.9,0.99628,0.7,0.079,1
0,10.2,0.9956,0.25,0.046,0
0,11.1,0.99331,0.33,0.041,0
0,11.8,0.99075,0.21,0.033,0
0,9.0,0.9973,0.29,0.063,1
0,12.8,0.98869,0.29,0.022,0
0,9.2,0.9988,0.5,0.078,1
1,11.0,1.0003,0.45,0.078,0
0,12.2,0.9896,0.31,0.037,0
0,9.9,0.9937,0.15,0.027,1
0,8.8,0.9972,0.15,0.058,0
1,9.6,0.9976,0.56,0.082,1
0,10.4,0.99445,0.26,0.047,0
0,12.0,0.9935,0.23,0.035,0
0,12.1,0.99022,0.28,0.028,1
0,9.7,0.99756,0.34,0.051,1
0,11.0,0.9918,0.17,0.035,1
0,10.5,0.99507,0.23,0.033,0
0,12.2,0.992,0.2,0.027,0
0,10.6,0.9931,0.29,0.029,0
1,10.0,0.99787,0.61,0.094,0
1,10.0,0.998,0.58,0.071,0
0,9.4,0.99628,0.35,0.056,1
1,9.6,0.9986,0.645,0.086,0
0,9.3,0.99794,0.32,0.041,1
0,8.8,0.99742,0.24,0.047,1
0,10.4,0.993,0.22,0.056,0
1,9.5,0.9971,0.5,0.115,1
0,11.0,0.992,0.27,0.05,0
1,9.7,0.99748,0.635,0.077,1
0,10.4,0.99316,0.24,0.033,0
0,10.3,0.99582,0.24,0.034,0
0,9.4,0.9954,0.14,0.053,0
0,13.4,0.99,0.42,0.034,0
1,9.7,0.9988,0.31,0.08,0
0,8.7,0.9986,0.25,0.043,0
1,12.2,0.99639,0.395,0.094,0
0,9.6,0.99495,0.29,0.037,1
0,9.3,0.99605,0.62,0.046,1
1,9.4,0.99565,0.975,0.087,1
1,12.0,0.99549,0.35,0.11,0
0,13.5,0.98894,0.37,0.033,0
0,9.8,0.995,0.19,0.067,1
0,9.4,0.99691,0.25,0.049,0
1,14.0,0.9947,0.46,0.065,0
1,9.5,0.9969,0.63,0.099,1
1,9.4,0.9976,0.56,0.078,1
0,11.2,0.9943,0.18,0.046,0
0,11.2,0.98984,0.25,0.04,0
0,12.4,0.9931,0.35,0.033,0
0,11.8,0.9916,0.19,0.037,0
1,11.6,0.996,0.545,0.068,0
0,10.8,0.99238,0.2,0.04,0
0,11.6,0.9923,0.19,0.023,0
0,11.1,0.99178,0.21,0.047,1
1,10.4,0.99396,0.61,0.069,1
0,8.9,0.9959,0.32,0.041,1
0,11.4,0.99022,0.2,0.025,1
0,10.8,0.99226,0.2,0.049,1
0,11.9,0.99,0.23,0.036,0
0,9.6,0.99492,0.33,0.048,1
0,9.4,0.9976,0.39,0.045,1
0,8.5,1.00038,0.18,0.054,0
0,9.2,0.9932,0.5,0.034,1
1,11.2,1.001,0.88,0.104,1
0,9.9,0.99299,0.22,0.057,0
0,9.4,0.99562,0.28,0.044,1
0,12.8,0.98867,0.31,0.038,0
0,12.0,0.99152,0.31,0.026,1
0,10.2,0.99532,0.27,0.042,0
0,9.1,0.99586,0.25,0.049,0
0,10.5,0.9929,0.28,0.052,0
0,12.5,0.98964,0.3,0.042,0
0,12.4,0.99052,0.4,0.026,0
0,12.3,0.9938,0.29,0.03,0
0,12.9,0.98865,0.34,0.023,0
0,9.8,0.9944,0.37,0.036,1
0,11.2,0.99095,0.29,0.032,0
0,12.6,0.99014,0.34,0.041,0
0,9.2,0.996,0.32,0.042,1
0,10.0,0.9933,0.16,0.04,0
1,9.9,0.99613,0.6,0.08,1
0,10.4,0.99474,0.27,0.053,0
1,8.7,0.9967,0.24,0.056,0
1,12.8,0.99242,0.75,0.059,0
0,13.0,0.99116,0.27,0.03,0
0,8.9,0.99896,0.28,0.047,0
0,12.7,0.99096,0.4,0.035,0
0,12.7,0.98946,0.31,0.039,0
0,11.0,0.991,0.235,0.047,0
1,11.9,0.9936,0.96,0.082,0
1,9.2,0.9967,0.49,0.069,0
0,9.2,0.9934,0.35,0.06,1
0,9.3,0.99534,0.28,0.045,1
0,10.9,0.9905,0.255,0.04,0
1,11.9,0.9963,0.3,0.052,0
1,10.8,1.0014,0.41,0.089,0
1,9.4,0.99782,0.33,0.083,1
0,11.3,0.99072,0.18,0.033,0
1,12.7,0.99426,0.33,0.07,0
0,9.5,0.998,0.22,0.044,0
1,9.1,0.99652,0.76,0.414,0
0,11.0,0.9916,0.17,0.037,0
0,13.0,0.98952,0.35,0.045,0
0,12.8,0.9911,0.32,0.04,0
0,10.6,0.9917,0.36,0.047,0
